title,abstract,date,department,type,url
More and More and More,"Book review of J.B. Fressoz (2024). More and More and More. An All-Consuming History of Energy, Penguin Random House, 400 pp. First published on: https://vbds.nl/2025/11/01/more-and-more-and-more/. A Dutch version of this review has been added. This translation is also published on: https://vbds.nl/wp-content/uploads/2025/11/Meer-en-Meer-en-Meer.pdf.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F8f8ce6f5-2b5c-43b1-ba16-f02ee11633e0
Regio Zwolle Monitor 2025,"De Regio Zwolle Monitor brengt jaarlijks het reilen en zeilen van Regio Zwolle in beeld aan de hand van statistieken en cijfers. Het signaleert trends en ontwikkelingen en geeft een indruk van de ontwikkelkracht van de regio. Daarmee is de Regio Zwolle Monitor voor de Economic Board Regio Zwolle een belangrijke bron van informatie om te bepalen op welk terrein de (economische) koers van de regio bijgestuurd kan of moet worden. Deze monitor biedt een rijk en feitelijk onderbouwd beeld van hoe de regio ervoor staat toegespitst op vier thema’s: brede welvaart, economisch verdienvermogen, inclusieve samenleving en duurzame leefomgeving.",,,,https://hbo-kennisbank.nl/details/sharekit_windesheim:oai:surfsharekit.nl:a7503560-6434-4569-925b-60b80020a887
A Dyadic Analysis of Interprofessional Collaboration in ECEC,"In child centers, professionals from childcare, education, and occasionally family support services participate in interprofessional collaboration (IPC) to facilitate smooth transitions from childcare to primary education, coordination between school and out-of-school care, provide care for children with special needs, and implement integrated services policies at center level. This study employed a multilevel model for dyadic networks to examine a national sample of professional networks of 788 professionals from 46 Dutch child centers. A newly developed instrument for assessing the degree of integration at center level (Index for Child Center Integration, ICCI) was associated with (inter)professional collaboration at dyadic level for childcare-to-school transitions, out-of-school care to school transition, care for children with special needs, and policy at center level. Higher levels of service integration at center level were associated with increased interprofessional collaboration.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2Fe2d8bf56-5f62-4772-98b1-a08dad784ab0
Exploring the effects of solar panel shading on the productivity and quality of forage production,"Deze scriptie onderzoekt hoe schaduw van vaste zonnepanelen de productiviteit en kwaliteit van een perennial-ryegrass/white-clover grasland beïnvloedt. Op een proefperceel van Massey University (Palmerston North, Nieuw-Zeeland) werden vier zones vergeleken: onder de panelen, tussen panelen, aan de uiteinden en een open controle. Gedurende vier groeicycli werden lichtonderschepping, NDVI, droge-stofopbrengst en voederkwaliteits­parameters (ruw eiwit, ADF, NDF) gemeten. Schaduw verminderde het licht en de voorjaarsopbrengst, maar de zomerproductie en de voederwaarde bleven grotendeels behouden; onder-paneelpercelen vertoonden wel een iets hoger vezelgehalte. De resultaten tonen dat agrivoltaïsche systemen het graslandbeheer vereisen aan te passen (o.a. maai-/begrazingsmoment en paneelafstand) om opbrengstverliezen te beperken en dubbel grondgebruik mogelijk te maken.",,,,https://hbo-kennisbank.nl/details/aereshogeschool:oai:www.greeni.nl:VBS:2:153824
From Conceptual Ambiguity to Critical Engagement: AI Literacy as Artistic Research,"This presentation explores AI literacy as a critical and situated dimension of Artistic Research (AR), drawing from recent investigation conducted with Master’s students in a discursive artistic AI course at Frank Mohr Institute. Using a structured questionnaire as both a pedagogical and research tool, the study uncovers how emerging artists conceptualise, use, and imagine artificial intelligence—revealing tensions between speculative expectations and grounded practices. The paper is expanded through a reflection in dialogue with selected students, and an artistic analysis of works they developed and the author curated for the 2024 symposium Encounters in Artistic Research. This triangulated methodology allows for a nuanced view of how literacy, practice, and critique co-evolve across time and context. The findings reveal striking conceptual ambiguities: definitions of AI among participants range from technical (algorithmic/machine learning) to metaphorical, critical, and even anthropomorphic. While AI is present in students’ daily lives, it remains marginal within their artistic practices. Nevertheless, their imagined futures for AI—emotional support, creative co-authorship, abstract thinking, political disruption—exceed their current capabilities and signal a strong desire for meaningful integration. By positioning AI literacy not merely as tool-based training but as a form of epistemological inquiry, this paper proposes a reframing of Human-Centred AI (HCAI) in artistic practice. The artist is not only a user or co-creator but an interpreter of algorithmic systems, capable of transforming technological opacity into critical reflection. This resonates with the evolving landscape of AR, where methodologies bridge creative speculation with pedagogical, social, and technological critique. The paper will conclude by proposing initial parameters for a literacy-driven, participatory methodology in artistic AI research. It will reflect on how such frameworks can contribute to institutional knowledge while resisting premature normalization of AI tools. Inviting a broader discussion on authorship, algorithmic imaginaries, and the role of artistic research in shaping inclusive and reflexive AI futures.",,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:23e29353-b50a-48df-8de0-072333de086b
Citizen Science Expo,"Fish bowl sessie Ethiek in participatief actieonderzoek, vanuit  SPRONG-consortium Bridge 2 Health",,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:87386d97-e95b-47bb-97aa-443b9acc060c
Soenveld_dewit_19122025_essayrobotrechten_nederlandsjuristenblad,"Met toestemming vqn de uitgever overgenomen uit: Nederlands Juristenblad, 19-12-2025, nr. 40          Artikel in nederlands juristenblad over robotrechten",,,,https://hbo-kennisbank.nl/details/saxion_kenniscentra:79404d95-209d-44a5-804d-95209da4a599
Cost-effectiveness of multidisciplinary transitional care interventions,"Background: Multidisciplinary transitional care interventions promote care coordination after hospital discharge and address (older) patients' complex care needs related to their physical, nutritional, and/or psychosocial status.  Objective: This review aimed to identify, critically appraise, and synthesize evidence on the cost-effectiveness of multidisciplinary transitional care interventions compared to usual care.  Design: Systematic review and meta-analysis.  Setting(s): Hospitals and primary care.  Participants: Adult patients admitted to a hospital, regardless of their condition, and discharged home.  Methods: Medline, Embase, CINAHL, and CENTRAL were searched for randomized controlled trials assessing multidisciplinary transitional care interventions' cost-effectiveness compared to usual care and reporting quality of life or quality-adjusted life years (QALY) from inception to July 2024. Findings were stratified by economic perspective and follow-up duration. Evidence certainty was assessed using Grading of Recommendations Assessment, Development, and Evaluation. The primary outcome was the incremental net monetary benefit (expressed as mean difference). Cost-effectiveness acceptability curves depicted probabilities of cost-effectiveness at various willingness-to-pay thresholds.  Results: Thirteen trials, containing 4114 patients, were included. From a healthcare perspective over 12 months, there was “low” certainty that multidisciplinary transitional care interventions reduced healthcare costs (MD, €-3452; 95 % CI, − 8816 to 1912) while there was no difference in QALYs (MD, 0.00; 95 % CI, − 0.03 to 0.04) compared to usual care. The probability of cost-effectiveness over 12 months was 90 % at a willingness-to-pay of €0/QALY, decreasing slightly to 84 % at higher willingness-to-pay thresholds (“moderate” certainty). Over six months, cost-effectiveness probabilities ranged from 43 % at €0/QALY to 87 % at €100,000/QALY, exceeding 80 % at a willingness to pay of €50,000/QALY (“low” to “moderate” certainty). From a societal perspective, the probabilities of cost-effectiveness were lower, primarily due to a limited number of studies with conflicting results.  Conclusions: Multidisciplinary transitional care interventions demonstrate potential for cost-effectiveness. However, the “low” evidence certainty of most comparisons underscores the need for further research to explore the cost-effectiveness of different types of multidisciplinary transitional care interventions across patient populations and country income levels to identify the most cost-effective strategies.  Registration: The review protocol was registered on PROSPERO, CRD42023421423.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2F791dda21-d068-47c5-b877-ab01c2ede420
Wijkscan gezonde leefomgeving,"Sinds de bouw in de jaren '70 is Almere uitgegroeid tot de nummer 8 grootste stad van Nederland en wordt gekenmerkt door de meerdere kernen, veel groen, bijzondere bouwwerken en architectuur, veel water in en om de stad en hetuitgebreide netwerk van paden en wegen. De eerste bewoners wonen inmiddels zo'n 50 jaar in Almere, waardoor vergrijzing is toegeslagen in de oudste stadsdelen van Almere, vooral in Almere Haven. Het doel van dit project is het identificeren en prioriteren van wensen en behoeften van ouderen voor betere facilitering van bewegen en ontmoeten in de openbare ruimte in de wijken De Marken en De Hoven in Almere Haven.",,,,https://hbo-kennisbank.nl/details/aereshogeschool:oai:www.greeni.nl:VBS:2:153975
What is the effect of myofascial release and pain neuroscience education on disability in adults with chronic nonspecific low back pain?,"Chronic nonspecific low back pain (CNSLBP) is a major problem and a leading cause of years lived with disability worldwide, with its burden expected to increase further. Disability represents a particularly important outcome in CNSLBP, as it is more strongly associated with reduced quality of life, work loss, and increased healthcare and societal cost than pain intensity alone. Contemporary physiotherapy management therefore emphasizes interventions addressing both physical and psychosocial contributors to disability. Among these, myofascial release (MFR) and pain neuroscience education (PNE) are widely used, yet their relative effects on disability remain unclear. The purpose of this literature review to evaluate the effects of MFR and PNE on disability in adults with CNSLBP.Conclusion: Both myofascial release and pain neuroscience education are associated with significant reductions in disability in adults with chronic nonspecific low back pain. However, due to heterogeneity of interventions and the absence of direct comparisons, no conclusion can be drawn regarding the superiority of one intervention over the other. Based on these findings, both MFR and PNE may be considered as part of a multimodal physiotherapy approach aimed at reducing disability in patients with CNSLBP. Future research should focus on well-conducted randomized controlled trials directly comparing MFR and PNE using standardized intervention protocols and consistent reporting of clinically relevant disability outcomes.",,,,https://hbo-kennisbank.nl/details/sharekit_hhs:oai:surfsharekit.nl:47995a17-bad6-4f87-853a-34226fa3cf7b
A4: Isala on EHR: openEHR for secondary data use in radiotherapy.,,,,,https://hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2F38e682ef-5bcd-4429-a6be-f2e0af214c59
Leveraging Eye-Tracking Biometrics for Predictive Analytics in Pilot Landing Performance,"Aviation safety relies greatly on understanding human factors and pilot behaviour. This study uses innovative eye-tracking biometrics and predictive analytics to enhance aviation landing performance in a twin-engine Piper Seneca simulation. With a Tobii Glass 3 eye tracker, gaze patterns from two pilots with successful and failed landings were recorded, preprocessed, and engineered into temporal features in 5-s sliding windows. Analysis showed a clear visual strategy and specified that Successful landings had much longer fixation times, larger saccade amplitudes, and greater vertical gaze change. This indicates a focused approach to important cues. In contrast, failed landings had shorter fixations and smaller saccades, which showed a less coordinated visual strategy. Logistic Regression models trained on raw, mapped, and merged gaze data achieved high prediction accuracies between 0.91 and 0.97, along with ROC AUC values from 0.94 to 0.95. This allowed them to differentiate between successful and failed landings easily. Mapped gaze data were the strongest predictors, especially mean vertical gaze position and saccade amplitude. This highlights how important spatial context is for performance evaluation. A prediction simulation under real-time conditions demonstrated the model’s ability to monitor in real-time during flight training. Although the dataset was limited, these promising results suggest eye-tracking biometrics could help identify the best visual strategies and provide real-time feedback. This study can change the pilot training and improve aviation safety. Moreover, future research will focus on a large sample of pilots and combine with advanced temporal models. The ultimate goal is to maximise generalizability and practical application.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2Fafc72b98-d0f6-4015-8620-0c829e95e6e8
Changing perspectives,,,,,https://hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2F5d622cf3-c15e-40ba-b89d-30396cd610b8
Integrated Qualitative and Quantitative Modelling in GarpN,"We present GarpN, a software tool designed to integrate qualitative and quantitative modelling. GarpN has three functionalities: translating a qualitative representation into a quantitative model, running numerical simulations and detecting quantitative states, and matching these states to their qualitative counterparts. We show the use of GarpN through a worked example of modelling a spring–mass system. As GarpN is a work in progress, we also discuss current challenges in integrating qualitative and quantitative modelling.",,,,https://hbo-kennisbank.nl/details/amsterdam_pure:oai:pure.hva.nl:publications%2Ff6afc4f9-3416-4195-8afb-5a375b2bcaf2
Opgroeien in armoede,gastles Aolb,,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:7209a67e-73c1-4425-9dc3-10fd4c9caa75
"STARS-HealthSTARS EU, the strategic alliance for regional transition Europe, integrates a health care team system around patients with lower health literacy and digital literacy","Within this session 2  presentation about the THCS STARS-Health project en group discussion: Session 2 – Strengthening Primary Care: lesson learned and open challenges for the health and care systemsThis session will examine the evolving role of primary care as a cornerstone of integrated and people-centred health systems. Drawing on policy insights, the session will feature spotlights on selected THCS-funded projects addressing primary care through digital solutions, population health strategies, and cross-sector collaboration, highlighting how THCS and its partners are supporting innovation in preventive care and early intervention.An interactive panel discussion with project leaders, patient representatives, and institutional stakeholders will close the session, fostering dialogue on how to scale successful practices across Europe.",,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:59130035-10c5-43a8-b547-45947c101817
Cultural knowledge of students for primary school teachers: A scoping review,,,,,https://hbo-kennisbank.nl/details/hanzepure:oai:research.hanze.nl:publications%2Facd60e4c-40bd-4a3b-9469-b4848a824da6
Het Organisatieperspectief op Proactieve Dienstverlening,"Proactieve dienstverlening in ontwikkeling: Steeds meer publieke organisaties verkennen proactieve dienstverlening: een aanpak waarbij de overheid of uitvoerder niet wacht tot burgers zelf om hulp vragen, maar zélf tijdig een handreiking doet. Denk aan het actief signaleren van betalingsachterstanden of het automatisch aanbieden van een regeling. De belofte: problemen eerder oplossen, het welzijn van burgers verbeteren én dienstverlening menselijker maken.Dilemma’s in de praktijk: Toch is proactief werken in de praktijk complex. Juridische beperkingen (zoals de AVG), technische knelpunten, interne discussies en beperkte capaciteit belemmeren de ruimte voor innovatie. Daarnaast is er weinig zicht op hoe burgers deze benadering zelf ervaren: wanneer waarderen ze een aanbod? En wanneer roept het juist weerstand op?Doel en opzet van het onderzoek Om dit beter te begrijpen, voerden we eind 2024 25 diepte-interviews uit met professionals binnen publieke dienstverleners. Het doel: zicht krijgen op de manier waarop organisaties omgaan met het ontwerp en de uitvoering van dataondersteunde proactieve dienstverlening, en welke ambities, dilemma’s en barrières zij daarbij ervaren.De interviews vonden plaats met professionals van onder meer gemeenten, landelijke uitvoeringsorganisaties, nutsbedrijven, een zorgverzekeraar en een woningcorporatie. De respondenten waren beleidsadviseurs, klantcontactmanagers, juristen, innovatiemanagers, dataspecialisten en anderen die betrokken zijn bij de ontwikkeling van dienstverlening.",,,,https://hbo-kennisbank.nl/details/sharekit_hu:oai:surfsharekit.nl:f48f41a1-e8d9-4648-b4fa-38e0f3194a5e
Onderzoeksfocus CoE Groen,"In 2025 is de onderzoekssamenwerking binnen CoE Groen de tweede fase ingegaan. Deze fase markeert een gerichtere aanpak van ons praktijkgerichte onderzoek, waarbij de focus is aangescherpt naar drie strategische transitielijnen waaraan wij met ons onderzoek bijdragen:1. Gezonde en duurzame voeding en voedselproductie2. Gezonde en veerkrachtige leefomgeving voor mens, dier en natuur3. Duurzaam innoveren, leren en ontwikkelen in transities De vier CoE Groen expertiseclusters Plant, Dier, Food, en Natuur & Leefomgeving werken praktijkgericht, met oog voor de behoeften van de specifieke werkveldpartners, aan complexe vraagstukken rondom deze drie transitielijnen. Ieder cluster draagt vanuit de eigen specifieke focus bij aan waardevolle inzichten voor het onderzoeksdomein, aan onderwijsvernieuwing en aan innovatieve praktijkoplossingen. De onderzoeksprojecten spelen op uiteenlopende schaalniveaus, van lokaal tot internationaal.De vier expertiseclusters hebben elk een inspiratie-paper geschreven met daarin een uitwerking van de actuele onderzoekslijnen van hun respectieve domeinen. In deze oplegger bij de vier afzonderlijke inspiratie-papers geven we aan waar de (potentie voor) kruisbestuiving tussen de vier expertiseclusters zich bevindt. We hebben daarvoor negen focusgebieden geduid waarop de expertises van de clusters elkaar raken, er goede aangrijpingspunten zijn voor transitie- en praktijkgericht onderzoek en waar de CoE Groenonderzoekscoalitie de komende jaren impact wil maken. De focusgebieden zijn gekoppeld aan de drie, wat meer abstracte, strategische transitielijnen en worden inhoudelijk gevoed door de onderzoekslijnen vanuit de clusters (die onverminderd relevant blijven).",,,,https://hbo-kennisbank.nl/details/has:oai:www.greeni.nl:VBS:2:153947
Bricks and the sustainable built environment,"During the symposium NoorderRuimte, researchers and students present their work. During the session Sustainable Built Environment (SBE), the lector and researchers presented their work with the concept of 'the brick', discussing past, present and future aspects of material, designing, architecture and craftmenship.",,,,https://hbo-kennisbank.nl/details/hanze_pure_rest:9bf1f6d7-0586-4935-9ae4-1ae75cac5bcd
